Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
7.0;H7;68;Eau;Gestion différenciées des eaux pluviales - Vers un territoire 0 rejet;Accompagner les entreprises  pour désimperméabiliser leurs surfaces;coût ++/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;;Pas d'action en 2022;autre;non;coût++;2;impact+++;3;Eau et milieux aquatiques
7.0;H7;88;Eau;Préserver les ressources en eau;Développer le stockage de l'eau dans les nappes phréatiques pour faire face à la perte de 15-20% d'eau disponible dans les années à venir;coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;;Pas d'action en 2022;;non;coût+;1;impact+++;3;Eau et milieux aquatiques
5.0;H8;376;Déchets et économie circulaire;Développer une alimentation durable et anti-gaspillage;Créer une conserverie à visée solidaire : lien avec Epicerie solidaire;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;;;non;coût++;2;impact++;2;Déchets et économie circulaire
4.0;35,97;168;Mobilité;Sensibiliser et accompagner les usagers vers les mobilités durables;Mener des actions de formation et sensibilisation autour de la mobilité durable auprès des enfants/scolaires;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;;PDU;non;coût++;2;impact++;2;Mobilités durables
2.0;1;289;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Proposer un audit complet et gratuit pour formuler une prescription;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Engager le travail avec l'ADIL sur le contenu de l'audit et les modalités de financement + liste des Bureaux d'Etudes éligibles;;non;coût++;2;impact+++;3;Rénovation énergétique
2.0;2;295;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Exonérer de la taxe foncière pour les projets performants;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Evaluation de faisabilité avec la Direction des finances;;non;coût++;2;impact++;2;Rénovation énergétique
2.0;6;310;Rénovation;Intégrer l'usage des logements comme levier de la performance énergétique des logements;Mener des campagnes de mesures après travaux dans les logements (copro, indiv...);coût ++/ impact ++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Achat de matériel de mesure mis à disposition de l'ADIL pour déploiement dans le cadre de la convention guichet unique;;non;coût++;2;impact++;2;Rénovation énergétique
2.0;10;909;Rénovation;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;Apporter un soutien spécifique au tertiaire public dans une logique d’exemplarité du patrimoine;;;;;;;;non;;N.A.;;N.A.;Rénovation énergétique
1.0;11;32;EnR;Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies;Développer des installations grâce à des tiers-investisseurs;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Plan de solarisation du patrimoine de la  Métropole d'Orléans : vise à mettre à disposition de développeurs de projets des surfaces disponibles via une autorisation d'occupation temporaire. Les investissements seront supportés par des tiers investisseur. Servira de capital d'expérience pour de futurs projets.;SDE;non;coût++;2;impact++;2;Energies renouvelables
1.0;11;33;EnR;Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies;Créer un outil de portage local pour produire et distribuer avec une logique de mix énergétique (multi-filières);coût +++/impact+++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Création de l'outil de portage dès 2022;SDE;oui;coût+++;3;impact+++;3;Energies renouvelables
1.0;12;28;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Organiser des groupements d’achats entre particuliers pour favoriser le recours au photovoltaïque;coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;;Action qui ne sera pas initialisée en 2022. Priorité est donnée au plan de solarisation du patrimoine public;;non;coût+;1;impact+++;3;Energies renouvelables
1.0;15;50;EnR;Développer les motorisations alternatives et les déplacements sobres en carbone;Expérimenter la mobilité hydrogène via la compétence transports urbains de la Métropole;coût +++/ impact +;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Conclusions de l'étude sur la transition de la flotte de bus d'Orléans Métropole, décision à  venir sur la possibilité d'une expérimentation;autre;non;coût+++;3;impact+;1;Energies renouvelables
1.0;14;43;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Favoriser l’équipement des particuliers et des industriels en chauffe-eaux solaires;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;S'appuyer sur l'Espace Conseil France Rénov'porté par l'ADIL pour apporter des conseils avisés. Travail à mener également en partenariat avec Envirobat pour s'assurer d'une offre qualitative sur le territoire;PCAET;non;coût++;2;impact++;2;Energies renouvelables
1.0;13;63;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Mettre en avant les labels;coût ++/ impact ++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;sans objet;Relais d'information sur les sites internet gérés par la collectivité (guide énergétique sur le site d'Orléans Métropole, site des Assises de la transition écologique);SDE;non;coût++;2;impact++;2;Energies renouvelables
1.0;15;51;EnR;Développer les motorisations alternatives et les déplacements sobres en carbone;Augmenter et densifier les pistes cyclables;coût ++/impact +++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Mobilité;;non;coût++;2;impact+++;3;Energies renouvelables
8.0;42;204;Alimentation;Réduire et valoriser les biodéchets;Systématiser les composteurs dans les résidences et l'accompagner d'un guide pour cuisiner les produits bruts;coût ++/ impact ++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Déchets;;non;coût++;2;impact++;2;Alimentation et agriculture
9.0;36;345;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Organiser la ville des 10 minutes ou des 300 m (courtes distances) et imaginer une mixité des populations, des logements, des environnements. Zones de loisirs, de respiration, où l'on peut marcher, se rencontrer...;coût ++/impact +++;Orléans Métropole pilote;;besoin d'études préalables;;Approche prise en compte dans le SCOT et dans le PLUm;SCOT;oui;coût++;2;impact+++;3;Ville durable
4.0;37;914;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Sensibiliser et accompagner les entreprises autour des mobilités durables et à l’usage de véhicules moins polluants;;;;;;;;non;;N.A.;;N.A.;Mobilités durables
6.0;52;101;Inondation;Montée en compétences des acteurs du territoire face au risque inondation;Améliorer l'information des risques et des sinistres précédents lors des ventes immobilières;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;Sur la base d'une liste de contacts, diffusion d'une information ciblée vers les professionnels de l'immobilier;PAPI;non;coût++;2;impact++;2;Risque inondation
5.0;43;409;Déchets et économie circulaire;Soutenir le développement d'une économie locale plus circulaire;Développer la consigne du verre et des autres contenants pour réemploi;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Suivre et soutenir le projet Rempil'it (LABO);;non;coût++;2;impact++;2;Déchets et économie circulaire
5.0;43;411;Déchets et économie circulaire;Soutenir le développement d'une économie locale plus circulaire;Développer et soutenir la filière réemploi et réparation d'objets : chez les acteurs de l'ESS et grâce aux nouveaux espaces réemploi (ex: déchetteries + projet pilote sur St Pryvé st mesmin);coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Conforter les points réemploi existants sur 4 déchetteries et ouvrir le site pilote de Saint Pryvé Saint Mesmin  (2ème semestre 2022);PLPD;oui;coût+++;3;impact+++;3;Déchets et économie circulaire
7.0;61;922;Eau;Préserver les ressources en eau;Préserver la ressource en eau en lien notamment avec le monde agricole et industriel;;;;;;;;non;;N.A.;;N.A.;Eau et milieux aquatiques
8.0;71;189;Alimentation;Faciliter l'accès aux produits locaux pour les professionnels et les particuliers;Regrouper les lieux et l’offre en produits locaux et de qualité en un même lieu pour faire gagner du temps aux utilisateurs;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Etude d'opportunité pour la réalisation d'un magasin de produits locaux en cours, budget pour la réhabilitation d'un local si une opportunité se présente en 2022 (pris sur la réserve foncière);Charte agricole;non;coût++;2;impact++;2;Alimentation et agriculture
4.0;32;154;Mobilité;Améliorer et développer les services de mobilité;Etendre les services de transport à la demande (sur les secteurs peu denses et/ou le soir et week-end);coût +++/impact+++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Extension du service à la demande au 3 janvier 2022;PDU;oui;coût+++;3;impact+++;3;Mobilités durables
5.0;44;371;Déchets et économie circulaire;Développer l'exemplarité de la collectivité;"Développer les Clauses ""achats durables"" dans la commande publique et favoriser le réemploi des équipements";coût +/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Promouvoir les réalisations déjà effectives et former toujours plus les rédacteurs de marchés sur ces clauses, en lien avec la loi AGEC;PLPD;oui;coût+;1;impact+++;3;Déchets et économie circulaire
5.0;50;917;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Inciter au changement de comportement par une évolution des règles et outils de la compétence (règlement de collecte, facturations incitatives, …);;;;;;;;non;;N.A.;;N.A.;Déchets et économie circulaire
6.0;57;120;Inondation;Mieux connaitre et adapter son territoire;Définir une gestion du système d'endiguement pour 2024;coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Etude de gouvernance en cours avec l'appui d'un bureau d'études. A sa suite, nous validerons un dispositif en partenariat avec les Communautés de Communes du Loiret;PAPI;non;coût+++;3;impact+++;3;Risque inondation
4.0;90;148;Mobilité;Réorganiser la circulation et le stationnement motorisés;Supprimer certains carrefours à feux tricolores non nécessaires, afin d'apaiser les vitesses et améliorer le partage;coût +/impact +++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Dans le cadre de la réflexion sur le Plan de Circulation de la ville d'Orléans, étude des extensions/généralisations des zones 30 dans quartiers et suppression des feux tricolores dans ces quartiers;;non;coût+;1;impact+++;3;Mobilités durables
4.0;90;151;Mobilité;Réorganiser la circulation et le stationnement motorisés;Etendre le stationnement payant, notamment à proximité des commerces pour favoriser la rotation;coût +++/impact+++;Orléans Métropole soutient;;besoin d'études préalables;;Etude stratégique sur la politique stationnement en cours (2021-2022);PDU;non;coût+++;3;impact+++;3;Mobilités durables
8.0;76;215;Alimentation;Favoriser les espaces nourriciers (jardins, végétations urbaines, …) en ville pour augmenter les sources de production locales;Inciter les citoyens à jardiner en bio, avec des structures qui vont pourvoir aider les personnes.;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Organiser des ateliers de partage et de formation;;non;coût+;1;impact++;2;Alimentation et agriculture
8.0;76;216;Alimentation;Favoriser les espaces nourriciers (jardins, végétations urbaines, …) en ville pour augmenter les sources de production locales;Soutenir les pratiques de jardinage en allant vers les ménages : distribuer des graines et plants gratuitement, permettre à des plus jeunes de faire du jardinage chez les ainés / intergénérationnel;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Organiser des ateliers de partage et de formation;;non;coût+;1;impact++;2;Alimentation et agriculture
8.0;79;928;Alimentation;Préserver le foncier agricole et maintenir une activité agricole durable, compétitive et innovante;Encourager et soutenir les communes dans la mise en place de projets agricoles innovants.;;;;;;;;non;;N.A.;;N.A.;Alimentation et agriculture
9.0;81;338;Ville durable;Adapter la ville au changement climatique;Limiter l'utilisation de l'air conditionné consommateur d'énergie, étudier des nouvelles solutions de rafraîchissement  (hors climatiseur);coût +++/impact+++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Recherche d'expérimentation;;non;coût+++;3;impact+++;3;Ville durable
5.0;88;372;Déchets et économie circulaire;Développer l'exemplarité de la collectivité;Soutenir les pratiques vertueuses sur les chantiers BTP (déconstruction, réemploi de matériaux);coût +/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Se former et informer les donneurs d'ordre / fédérations professionnelles;;non;coût+;1;impact+++;3;Déchets et économie circulaire
9.0;89;340;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Développer des solutions de travail à distance, en périphérie de la Métropole ou en coeur de ville. espaces de co-working, dédiés ou inclus dans des projets immobiliers (pour les résidents ou les riverains);coût +++/ impact +;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût+++;3;impact+;1;Ville durable
9.0;97;324;Ville durable;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;Communiquer sur ce qui nous attend, ce qui va se passer, comment on va échanger avec les habitants. Procéder comme pour la démarche des Assises, mais à l'envers : partir de ce qui nous attend. Faire comprendre que le changement sera difficile;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;La démarche des Assises sera poursuivi et une approche sera spécifiquement menée sur les volets communication;PCAET;non;coût+;1;impact++;2;Ville durable
9.0;90;319;Ville durable;Développer une approche intégrée d'évaluation des projets urbains;Systématiser la mise en place des pistes cyclables ou voies douces dans le cadre de requalification ou construction de voies;coût ++/impact +++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Mobilité;;non;coût++;2;impact+++;3;Ville durable
9.0;12,14;357;Ville durable;Préserver les ressources;Développer les ombrières photovoltaïques sur les aires de stationnement de grandes surfaces ou les entrepôts;coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Approche déclinée dans l'axe Energies Renouvelables;PCAET;non;coût+++;3;impact++;2;Ville durable
8.0;97;207;Alimentation;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;Développer une installation jardinière et pédagogique autour de l'autonomie alimentaire sur un site partagé en lien avec les écoles.;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Recensement des initiatives déjà en place sur les communes. Partenariat avec l'éducation nationale.;;non;coût++;2;impact++;2;Alimentation et agriculture
8.0;97;209;Alimentation;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;"Organiser des journées ""Fermes ouvertes"" ou ""Cultures ouvertes"" permettant de découvrir les métiers, méthodes de production,…";coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Animation de journées portes ouvertes et communication;Charte agricole;non;coût+;1;impact++;2;Alimentation et agriculture
8.0;97;211;Alimentation;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;Eduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et de l’alimentation durables(cantine, jardinage et programmes de sensibilisation);coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;n'a pas encore été chiffré;Organiser des ateliers de sensibilisation, mettre en place des outils de communication, renforcer les actions de promotion de l'agriculture urbaine et de l'alimentation durable, proposer des outils de formation à destination du grand public;Charte agricole;oui;coût+;1;impact++;2;Alimentation et agriculture
2.0;97;276;Rénovation;Mobiliser l'ensemble des acteurs du territoire par une stratégie de sensibilisation et de communication sur les enjeux de la rénovation énergétique;Cibler les ménages en précarité énergétique (bénéficiaires du FUL / CCAS / chèque énergie) pour des actions de sensibilisation aux éco-gestes et à la rénovation;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Mener une action expérimentale avec le FUL / le CCAS d'Orléans;;non;coût+;1;impact++;2;Rénovation énergétique
2.0;97;280;Rénovation;Mobiliser l'ensemble des acteurs du territoire par une stratégie de sensibilisation et de communication sur les enjeux de la rénovation énergétique;Réaliser une thermographie aérienne et de façades;coût +++/impact+++;Orléans Métropole soutient;;est déjà en place,fonctionne;n'a pas encore été chiffré;Rechercher des partenariats financiers pour financer une nouvelle campagne;;non;coût+++;3;impact+++;3;Rénovation énergétique
5.0;48,97;384;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;"Lancer des défis ""0 GASPI""/""Transition"" multithématiques (déchets, énergie, conso...)";coût ++/impact +;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Apprécier la pertinence de tels dispositifs;;non;coût++;2;impact+;1;Déchets et économie circulaire
10.0;100;941;Gouvernance;;Concevoir et mettre en œuvre une stratégie de mobilisation des acteurs du territoire en faveur de la transition écologique;;;;;;;;non;;N.A.;;N.A.;Gouvernance partagée
3.0;24,26;265;Biodiversité;La nature comme solution;Créer dans la métropole des havres de biodiversité, tous les 1 à 5 km reliés, si possible, par des cordons herbeux ou arbustifs;coût +++/impact+++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Identifier, grâce à la Trame Verte et Bleue, où créer ces espaces. Les gérer écologiquement, en adaptant le calendrier des interventions pour limiter l'impact sur la faune, planter du végétal local ou laisser la nature s'exprimer.;PCAET;non;coût+++;3;impact+++;3;Biodiversité
3.0;24,26;269;Biodiversité;Exemplarité des collectivités;Limiter  la compensation, autant ne pas détruire l'existant. Respecter l'ordre Eviter, Réduire, Compenser;coût +/impact +++;Orléans Métropole pilote;;;sans objet;"Vraiment privilégier les volets éviter et réduire de la sequence ""Eviter Réduire Compenser"" dans la conduite des projets. Laisse le temps de la réalisation des diagnostics et des cartographies des enjeux avant de dessiner des plans d'aménagements";SCOT;oui;coût+;1;impact+++;3;Biodiversité
6.0;52,97;93;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Assurer la refection des repères de crues;coût +/impact+;Orléans Métropole pilote;;besoin d'études préalables;a été chiffré mais n'est pas budgété;identifier quels repères de crues mettre en valeur;PAPI;non;coût+;1;impact+;1;Risque inondation
5.0;48,97;388;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;"Développer une école des consomm’acteurs : réunions d'informations, ateliers pratiques soutenus financièrement, visites de sites exemplaires, défis  ""0 GASPI""/""Transition"" multithématiques (déchets, énergie, conso...)";;;;;;;;non;;N.A.;;N.A.;Déchets et économie circulaire
5.0;48,97;392;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;Valoriser ces pratiques en termes de genre / Attention à ne pas reporter la charge mentale sur un seul membre du foyer;coût +/impact+;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;"Continuer à communiquer sur l'eco-consommation à travers la newsletter ""réduction des déchets""";PLPD;non;coût+;1;impact+;1;Déchets et économie circulaire
5.0;48,97;915;Déchets et économie circulaire;Développer la pédagogie autour de l'écoconsommation;"Eduquer plus largement la jeunesse par l’expérience et le jeu ; dans ce cadre, utiliser pleinement nos équipements emblématiques (UTOM, comptoir du réemploi)";;;;;;;;non;;N.A.;;N.A.;Déchets et économie circulaire
2.0;5,6;309;Rénovation;Intégrer l'usage des logements comme levier de la performance énergétique des logements;Systématiser le recours à des Assistances à Maitrise d'Usages après les travaux;coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Etudier avec ADIL et autres partenaires les modalités de déploiement (aide à la prise en charge de prestation ? intégration dans les missions de l'ADIL ? autre partenaire);;oui;coût++;2;impact++;2;Rénovation énergétique
6.0;52,97;96;Inondation;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;Expo/concours pour mettre en valeur les zones exposées;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022 : priorité donnée aux autres actions;;non;coût++;2;impact++;2;Risque inondation
3.0;H3;224;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Faire un état des lieux des ressources / ambitions;coût+/ impact++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;sans objet;Préciser les ambitions politiques, détailler les éléments biodiversité du PCAET. Décliner ces ambition et éléments dans une feuille de route de la transition à l'échelle de chaque commune : mise en œuvre des Inventaires de Biodiversité Communale et d'un haut niveau d'exigence de leurs plans d'actions, adapter les moyens humains et financiers à hauteur des ambitions de gestion écologique. Avoir une vision transversale Préservation de la Ressource en Eau/Agriculture/Biodiversité : définir l'aide et l'accompagnement par la métropole des agriculteurs conventionnels pour une conversion au bio.;PCAET;non;coût+;1;impact++;2;Biodiversité
4.0;82,97;181;Mobilité;Diminuer l'impact des véhicules motorisés sur l'environnement;Augmenter le nombre de capteurs de polluants atmosphériques et informer plus régulièrement la population;coût ++/impact +;Orléans Métropole soutient;;mérite une progression;n'a pas encore été chiffré;Concertation avec Lig'Air à mener et chiffrages associés;PDU;non;coût++;2;impact+;1;Mobilités durables
9.0;H9;342;Ville durable;Limiter l'étalement urbain et développer la ville des courtes distances;Mettre en place des taxes sur les logements vacants;coût ++/ impact ++;Orléans Métropole soutient;;;;Taxe déjà existante. La question des logements vacants sera abordée dans le cadre du Plan Local de l'Habitat n°4;;non;coût++;2;impact++;2;Ville durable
4.0;H4;162;Mobilité;Améliorer et développer les services de mobilité;Développer les réseaux d'auto-stop et de covoiturage;coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Plusieurs expérimentations déjà menés, non concluantes pour l'instant. Poursuivre les échanges avec les Communautés de Communes limitrophes;PDU;non;coût++;2;impact++;2;Mobilités durables
2.0;1;291;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Prendre en compte le besoin global de travaux des logements pour assurer une rénovation pérenne (énergie + remise au norme, salubrité, ...) : tant pour le diagnostic de départ que pour le financement des travaux;coût +++/impact+++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Lancer le PIG (Programme d'Intérêt Général) Lutte contre l'habitat indigne, la vacance et la précarité énergétique : signature convention avec l'Anah, consultation marché de suivi-animation;PLH;non;coût+++;3;impact+++;3;Rénovation énergétique
2.0;6;311;Rénovation;Intégrer l'usage des logements comme levier de la performance énergétique des logements;Sensibiliser les habitants aux éco-gestes;coût+/ impact++;Orléans Métropole soutient;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;"Intégrer cette actions aux missions du guichet de la rénovation énergétique (convention)
Soutenir les projets : appartements pédagogiques, compagnons bâtisseurs";;non;coût+;1;impact++;2;Rénovation énergétique
2.0;7;906;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Développer une boîte à outils d’appui aux communes afin de renforcer  la dynamique de rénovation énergétique des bâtiments publics;;;;;;;;non;;N.A.;;N.A.;Rénovation énergétique
1.0;12;7;EnR;Agir spécifiquement en faveur du développement du photovoltaïque;Donner une information fiable sur les panneaux photovoltaïques (composition, recyclage…);coût+/ impact++;Orléans Métropole soutient;;pas besoin d'études,facile à déployer;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Relayer des informations sourcées et pédagogiques sur le site Internet des Assises;autre;non;coût+;1;impact++;2;Energies renouvelables
1.0;13;54;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Aider de nouveaux installateurs à se mettre en action (création d'entreprise dans toutes ses composantes);coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Poursuite des politiques d'aide à l'installation de nouvelles entreprises;;non;coût++;2;impact+++;3;Energies renouvelables
1.0;13;55;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Mettre en œuvre le dispositif DOREMI  - Former des professionnels de la rénovation énergétique, pour des rénovations complètes en basse consommation.;coût ++/impact +++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Rénovation Energétique;PCAET;non;coût++;2;impact+++;3;Energies renouvelables
1.0;13;902;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Aider, accompagner les particuliers dans leur projet d’amélioration de l’habitat;coût ++/ impact ++;Orléans Métropole pilote;;;;Approche déclinée dans l'axe Rénovation Energétique;PLH;non;coût++;2;impact++;2;Energies renouvelables
1.0;14;42;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Favoriser la récupération des chaleurs/énergies perdues (VMC, parc informatique …);coût +++/impact+++;Orléans Métropole pilote;;besoin d'études préalables;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Etude sur une boucle thermique basse température dans le cadre du projet d'extension du parc d'activités de La Saussaye;PCAET;non;coût+++;3;impact+++;3;Energies renouvelables
1.0;14;45;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Créer une offre de service d’accompagnement de projet pour le développement de la géothermie;coût ++/ impact ++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Valoriser l'accompagnement du BRGM en matière de bonnes pratiques liées à la géothermie et diffuser les préconisations;SDE;non;coût++;2;impact++;2;Energies renouvelables
1.0;15;48;EnR;Développer les motorisations alternatives et les déplacements sobres en carbone;Développer les stations GNV, en cohérence avec une demande qui devrait augmenter;coût ++/ impact ++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Accompagner sur un plan technique les réflexions sur le schéma d'avitaillement régional;;non;coût++;2;impact++;2;Energies renouvelables
1.0;17;40;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Développer le bois énergie;;;;;;;;non;;N.A.;;N.A.;Energies renouvelables
3.0;24;229;Biodiversité;Conception et gestion des espaces  favorables à la biodiversité;Associer les experts dans la production d'idées ex. INRAE, LNE, ARB, CNRS, ONF…;coût ++/impact +++;Orléans Métropole pilote;;pas besoin d'études,facile à déployer;sans objet;Associer les experts sur des sujets tels que la gestion des espaces naturels métropolitains, la construction des 24H 2022, convier Loiret Nature Environnement aux étapes de construction des opérations d'aménagement comme les Groues et Val Ouest;;non;coût++;2;impact+++;3;Biodiversité
6.0;51;113;Inondation;Mieux connaitre et adapter son territoire;Travailler au développement de modes de constructions plus résilients;coût +++/impact+++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;Utilisation du référentiel ville durable;PLUm;oui;coût+++;3;impact+++;3;Risque inondation
5.0;42;381;Déchets et économie circulaire;Favoriser la gestion de proximité des biodéchets;Expérimenter de nouveaux modèles de gestion de proximité des biodéchets, adaptés à chaque typologie d'habitat : collecte à vélo, pavillon de compostage, électro-compostage, petites plateformes de compostage, broyage-paillage des déchets verts, ...;coût ++/impact +++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;fait l'objet d'une inscription au PPI;Expérimenter et mettre en œuvre le scenario retenu par l'étude biodéchets engagée en 2021;PLPD;oui;coût++;2;impact+++;3;Déchets et économie circulaire
5.0;42;382;Déchets et économie circulaire;Favoriser la gestion de proximité des biodéchets;Soutenir la pratique du compostage de proximité dans le temps : pour son intérêt d'illustration de ce qu'est l'économie circulaire, à différentes échelles, en lien avec le développement des jardins partagés, dans différents contextes;coût+/ impact++;Orléans Métropole pilote;;est déjà en place,fonctionne;fait l'objet d'une inscription au PPI;Expérimenter et mettre en œuvre le scenario retenu par l'étude biodéchets engagée en 2021;PLPD;non;coût+;1;impact++;2;Déchets et économie circulaire
5.0;49;918;Déchets et économie circulaire;Soutenir le développement d'une économie locale plus circulaire;Concevoir et soutenir les évènements éco-responsables du territoire;;;;;;;;non;;N.A.;;N.A.;Déchets et économie circulaire
